Activities,Author,Date,Gender
1,Raymond Queneau,1947,Male
1,Albert-Marie Schmidt,1960,Male
1,Latis,1960,Male
1,Raymond Queneau,1960,Male
1,François Le Lionnais,1960,Male
1,Jean Queval,1960,Male
1,Jacques Bens,1960,Male
1,Claude Berge,1960,Male
1,Noël Arnaud,1960,Male
1,Jean Lescure,1960,Male
1,Jacques Duchateau,1960,Male
1,Raymond Queneau,1961,Male
1,André Blavier,1961,Male
1,Stanley Chapman,1961,Male
1,Ross Chambers,1961,Male
1,Paul Braffort,1961,Male
1,Marcel Duchamp,1962,Male
1,Jacques Bens,1965,Male
1,Jacques Roubaud,1966,Male
1,Jacques Roubaud,1967,Male
1,Georges Perec,1967,Male
1,Noel Arnaud,1968,Male
1,Georges Perec,1969,Male
1,Luc Etienne,1970,Male
1,Marcel Bénabou,1970,Male
1,Paul Fournel,1972,Male
1,Harry Mathews,1973,Male
1,Georges Perec,1974,Male
1,Jacques Roubaud,1974,Male
1,Italo Calvino,1974,Male
1,Michèle Métail,1975,Female
1,Raymond Queneau,1976,Male
1,Harry Mathews,1978,Male
1,Italo Calvino,1978,Male
1,Jacques Bens,1978,Male
1,Jacques Roubaud,1978,Male
1,Noël Arnaud,1978,Male
1,OuLiPo/Collaboration,1978,None
1,Paul Braffort,1978,Male
2,Paul Fournel,1978,Male
1,Italo Calvino,1979,Male
1,Jacques Duchateau,1980,Male
1,Marcel Bénabou,1980,Male
1,Jacques Duchateau,1981,Male
1,Jacques Roubaud,1981,Male
1,OuLiPo/Collaboration,1981,None
1,Georges Perec,1982,Male
1,Italo Calvino,1982,Male
1,Michèle Métail,1982,Female
1,Paul Braffort,1982,Male
1,Claude Berge,1983,Male
1,François Caradec,1983,Male
1,Jacques Jouet,1983,Male
1,Georges Perec,1984,Male
1,Jacques Roubaud,1984,Male
1,Jean Queval,1984,Male
1,Marcel Bénabou,1984,Male
1,Jacques Jouet,1985,Male
2,Jean Queval,1985,Male
1,Luc Etienne ,1985,Male
1,Jean Lescure,1986,Male
1,Marcel Bénabou,1986,Male
3,Michèle Métail,1986,Female
1,François Caradec,1987,Male
2,François Caradec,1990,Male
1,Harry Mathews,1990,Male
3,Jacques Jouet,1990,Male
,,,
,,,
3,Jacques Roubaud,1990,Male
,,,
,,,
1,Marcel Bénabou,1990,Male
2,Michèle Métail,1990,Female
,,,
1,Noël Arnaud ,1990,Male
1,Paul Braffort,1990,Male
1,Paul Fournel,1990,Male
1,Harry Mathews,1992,Male
1,Jacques Jouet,1992,Male
1,Jacques Roubaud,1992,Male
2,OuLiPo/Collaboration,1992,None
,,,
1,Paul Braffort,1992,Male
1,Oskar Pastior,1992,Male
1,Hervé Le Tellier,1992,Male
1,Pierre Rosenstiehl,1992,Male
1,François Caradec,1993,Male
2,Jacques Jouet,1993,Male
,,,
1,Jacques Roubaud,1993,Male
,,,
1,Marcel Bénabou,1993,Male
1,Noël Arnaud,1993,Male
1,OuLiPo/Collaboration,1993,None
1,Claude Berge,1994,Male
1,Harry Mathews,1994,Male
1,Jacques Duchateau,1994,Male
1,OuLiPo/Collaboration,1994,None
1,Hervé Le Tellier,1995,Male
1,Jacques Jouet,1995,Male
2,Michelle Grangaud,1995,Female
,,,
1,Oskar Pastior,1995,Male
1,OuLiPo/Collaboration,1995,None
1,Bernard Cerquiglini,1995,Male
1,Michelle Grangaud,1995,Female
2,Hervé Le Tellier,1996,Male
,,,
1,Jacques Bens,1996,Male
2,Jacques Jouet,1996,Male
,,,
2,Jacques Roubaud,1996,Male
,,,
1,OuLiPo/Collaboration,1996,None
1,Claude Berge,1997,Male
1,François Le Lionnais,1997,Male
1,Harry Mathews,1997,Male
2,Hervé Le Tellier,1997,Male
,,,
1,Jacques Bens,1997,Male
1,Jacques Jouet,1997,Male
1,Marcel Bénabou,1997,Male
3,OuLiPo/Collaboration,1997,None
,,,
,,,
1,Paul Braffort,1997,Male
1,Paul Fournel,1997,Male
1,François Caradec,1998,Male
1,Ian Monk,1998,Male
1,Jacques Jouet,1998,Male
2,Michelle Grangaud,1998,Female
,,,
1,OuLiPo/Collaboration,1998,None
1,Ian Monk,1998,Male
1,Harry Mathews,1999,Male
1,Hervé Le Tellier,1999,Male
2,Ian Monk,1999,Male
,,,
2,Jacques Bens,1999,Male
,,,
2,Jacques Jouet,1999,Male
,,,
1,Jacques Roubaud,1999,Male
1,Marcel Bénabou,1999,Male
1,Michelle Grangaud,1999,Female
1,OuLiPo/Collaboration,1999,None
1,Olivier Salon,2000,Male
1,Anne F. Garréta,2000,Female
1,François Caradec,2001,Male
1,Harry Mathews,2001,Male
1,Ian Monk,2001,Male
1,Jacques Roubaud,2001,Male
1,Michelle Grangaud,2001,Female
1,Paul Braffort,2001,Male
1,François Caradec,2002,Male
2,OuLiPo/Collaboration,2002,None
,,,
2,Jacques Jouet,2003,Male
,,,
1,Jacques Roubaud,2003,Male
2,OuLiPo/Collaboration,2003,None
,,,
1,Valérie Beaudouin,2003,Female
2,Jacques Jouet,2004,Male
,,,
1,Marcel Bénabou,2004,Male
1,Olivier Salon,2004,Male
1,François Caradec,2005,Male
1,Frédéric Forte,2005,Male
1,Marcel Bénabou,2005,Male
2,OuLiPo/Collaboration,2005,None
,,,
2,Paul Fournel,2005,Male
,,,
1,Frédéric Forte,2005,Male
1,François Caradec,2006,Male
1,Frédéric Forte,2006,Male
1,Jacques Jouet,2006,Male
2,Jacques Roubaud,2006,Male
,,,
5,OuLiPo/Collaboration,2006,None
,,,
,,,
,,,
,,,
2,Paul Fournel,2006,Male
,,,
1,Anne F. Garréta,2007,Female
1,Jacques Bens,2007,Male
3,Jacques Jouet,2007,Male
,,,
,,,
1,Marcel Bénabou,2007,Male
3,OuLiPo/Collaboration,2007,None
,,,
,,,
1,Paul Fournel,2007,Male
1,Bernard Cerquiglini,2008,Male
2,François Caradec,2008,Male
,,,
1,Frédéric Forte,2008,Male
2,Jacques Roubaud,2008,Male
,,,
1,Marcel Bénabou,2008,Male
1,Olivier Salon,2008,Male
1,Daniel Levin Becker,2009,Male
1,Ian Monk,2009,Male
1,Jacques Jouet,2009,Male
1,Jacques Roubaud,2009,Male
1,Michelle Grangaud,2009,Female
1,OuLiPo/Collaboration,2009,None
1,Daniel Levin Becker,2009,Male
1,Michèle Audin,2009,Female
1,Frédéric Forte,2010,Male
1,Ian Monk,2010,Male
3,Jacques Jouet,2010,Male
,,,
,,,
2,Marcel Bénabou,2010,Male
,,,
1,Michèle Audin,2010,Female
1,Hervé Le Tellier,2011,Male
1,Jacques Roubaud,2011,Male
1,Michèle Audin,2011,Female
1,Michelle Grangaud,2011,Female
1,Paul Fournel,2011,Male
1,Hugo Vernier,2012,Male
1,Jacques Roubaud,2012,Male
1,Marcel Bénabou,2012,Male
1,Michèle Audin,2012,Female
1,Olivier Salon,2012,Male
1,OuLiPo/Collaboration,2012,None
1,Paul Fournel,2012,Male
1,Étienne Lécroart,2012,Male
1,Bernard Cerquiglini,2013,Male
1,Daniel Levin Becker,2013,Male
1,Etienne Lécroart,2013,Male
1,Frédéric Forte,2013,Male
1,Michèle Audin,2013,Female
1,Olivier Salon,2013,Male
1,Paul Braffort,2013,Male
1,Eduardo Berti,2014,Male
2,Jacques Jouet,2014,Male
,,,
1,Michèle Audin,2014,Female
1,Olivier Salon,2014,Male
1,OuLiPo/Collaboration,2014,None
1,Eduardo Berti,2014,Male
1,Pablo Martín Sánchez,2014,Male
1,Eduardo Berti,2015,Male
1,Frédéric Forte,2015,Male
1,Ian Monk,2015,Male
1,Jacques Jouet,2015,Male
1,Jacques Roubaud,2015,Male
1,Marcel Bénabou,2015,Male
1,Olivier Salon,2015,Male
2,OuLiPo/Collaboration,2015,None
,,,
2,Valérie Beaudouin,2015,Female
,,,
1,Jacques Roubaud,2016,Male
,,,
1,Olivier Salon,2016,Male
1,OuLiPo/Collaboration,2016,None
1,Eduardo Berti,2017,Male
1,Frédéric Forte,2017,Male
1,Clémentine Mélois,2017,Female
2,Olivier Salon,2018,Male
,,,
1,Paul Fournel,2018,Male
1,Eduardo Berti,2019,Male
1,Frédéric Forte,2019,Male
2,OuLiPo/Collaboration,2019,None
,,,
1,Paul Fournel,2019,Male
1,Pierre Rosenstiehl,2019,Male
